X_PS,Y_PS,BED_filt,moho_calc_250,Lon,Lat
223130.115629564,1251681.65784005,136.316680908203,-35839.82368,10.1076156487939,-78.3371477967678
232916.524209808,1251681.65784005,127.346458435059,-35988.432,10.5411976046406,-78.3211653166408
242702.932790052,1251681.65784005,123.956871032715,-36137.04416,10.9735618991101,-78.3045207806657
252489.341370296,1251681.65784005,125.265716552734,-36284.05648,11.4046646249803,-78.2872170893516
262275.749950541,1251681.65784005,134.121063232422,-36427.6848,11.8344627021349,-78.2692572407331
272062.158530785,1251681.65784005,155.563262939453,-36565.7048,12.2629138980001,-78.2506443279739
281848.567111028,1251681.65784005,191.620635986328,-36696.94912,12.6899768466866,-78.2313815369189
291634.975691273,1251681.65784005,237.458953857422,-36819.76944,13.1156110668266,-78.211472143601
301421.384271516,1251681.65784005,283.114959716797,-36934.2336,13.5397769780999,-78.1909195117064
311207.792851761,1251681.65784005,320.029022216797,-37039.84576,13.9624359164463,-78.1697270900021
320994.201432004,1251681.65784005,346.884735107422,-37135.81808,14.3835501479645,-78.1478984097303
330780.610012249,1251681.65784005,369.467132568359,-37223.50208,14.8030828815008,-78.1254370819743
340567.018592493,1251681.65784005,394.482452392578,-37304.07824,15.2209982799346,-78.1023467949987
350353.427172737,1251681.65784005,422.815216064453,-37379.83024,15.6372614701693,-78.07863131157
360139.835752981,1251681.65784005,448.300079345703,-37452.4744,16.0518385518421,-78.0542944662597
369926.244333226,1251681.65784005,463.041534423828,-37524.9344,16.4646966047664,-78.0293401627354
379712.652913469,1251681.65784005,464.264923095703,-37600.3544,16.8758036951258,-78.0037723710426
389499.061493713,1251681.65784005,456.305389404297,-37681.4144,17.2851288804381,-77.9775951248827
399285.470073958,1251681.65784005,445.9892578125,-37770.50224,17.6926422133129,-77.9508125188882
409071.878654202,1251681.65784005,435.98486328125,-37870.76208,18.0983147440268,-77.9234287059024
418858.287234446,1251681.65784005,422.706665039063,-37984.23392,18.5021185219427,-77.8954478942633
428644.695814691,1251681.65784005,401.072387695313,-38112.12992,18.9040265958013,-77.8668743450985
438431.104394934,1251681.65784005,371.771911621094,-38256.58944,19.3040130129151,-77.8377123696319
448217.512975178,1251681.65784005,343.945983886719,-38416.54928,19.7020528172965,-77.8079663265065
458003.921555422,1251681.65784005,329.998840332031,-38591.72112,20.0981220467526,-77.7776406191271
467790.330135667,1251681.65784005,336.355102539063,-38780.96064,20.4921977289817,-77.7467396930232
477576.738715911,1251681.65784005,357.943664550781,-38981.06048,20.8842578767057,-77.7152680332387
487363.147296156,1251681.65784006,381.424255371094,-39189.16016,21.2742814818755,-77.6832301617474
497149.5558764,1251681.65784005,394.989929199219,-39401.656,21.6622485089864,-77.6506306348994
506935.964456643,1251681.65784005,397.109680175781,-39614.25952,22.0481398875406,-77.6174740408991
516722.373036888,1251681.65784005,397.377258300781,-39821.4712,22.4319375036961,-77.5837649973184
526508.781617132,1251681.65784005,408.879699707031,-40019.3712,22.8136241911394,-77.5495081486461
536295.190197376,1251681.65784005,437.99755859375,-40202.80688,23.1931837212217,-77.5147081638761
546081.598777621,1251681.65784006,479.273864746094,-40367.06656,23.5706007923984,-77.4793697341362
555868.007357865,1251681.65784006,519.036804199219,-40507.97456,23.9458610190084,-77.443497570359
565654.415938109,1251681.65784005,545.2294921875,-40622.92256,24.3189509194353,-77.4070964009962
575440.824518353,1251681.65784006,556.928527832031,-40708.9784,24.6898579036872,-77.3701709697787
585227.233098597,1251681.65784005,567.551940917969,-40764.1784,25.0585702604343,-77.3327260335222
595013.641678841,1251681.65784006,599.712829589844,-40788.6984,25.4250771435422,-77.2947663599816
604800.050259085,1251681.65784006,674.286315917969,-40783.5384,25.7893685581389,-77.2562967257529
614586.458839329,1251681.65784005,799.1416015625,-40750.52272,26.1514353462524,-77.2173219142253
624372.867419575,1251681.65784006,963.156494140625,-40692.85872,26.5112691720544,-77.1778467135836
634159.275999819,1251681.65784006,1138.72302246094,-40614.04688,26.8688625067475,-77.1378759148614
643945.684580063,1251681.65784006,1291.90161132813,-40519.8752,27.2242086131299,-77.0974143100461
653732.093160308,1251681.65784006,1395.39514160156,-40416.19952,27.5773015298709,-77.0564666902358
663518.501740551,1251681.65784006,1437.82800292969,-40309.08768,27.9281360555324,-77.0150378438485
673304.910320796,1251681.65784006,1424.92260742188,-40205.00384,28.2767077323666,-76.9731325548844
683091.318901039,1251681.65784006,1373.22424316406,-40110.56016,28.6230128299234,-76.9307556012405
